ENSMUSG00000000001.4	21
ENSMUSG00000000003.9	0
ENSMUSG00000000028.8	6
ENSMUSG00000000031.9	4
ENSMUSG00000000037.9	4
ENSMUSG00000000049.5	1
ENSMUSG00000000056.7	8
ENSMUSG00000000058.6	0
ENSMUSG00000000078.6	8
ENSMUSG00000000085.9	41
ENSMUSG00000000088.6	8
ENSMUSG00000000093.6	0
ENSMUSG00000000094.6	6
ENSMUSG00000000103.6	0
ENSMUSG00000000120.6	1
ENSMUSG00000000125.5	0
ENSMUSG00000000126.5	43
ENSMUSG00000000127.7	34
ENSMUSG00000000131.9	34
ENSMUSG00000000134.11	0
ENSMUSG00000000142.9	1
ENSMUSG00000000148.10	1
ENSMUSG00000000149.5	10
ENSMUSG00000000154.8	0
ENSMUSG00000000157.8	0
ENSMUSG00000000159.9	2
ENSMUSG00000000167.8	9
ENSMUSG00000000168.3	17
ENSMUSG00000000171.4	9
ENSMUSG00000000182.7	0
ENSMUSG00000000183.5	0
ENSMUSG00000000184.9	27
ENSMUSG00000000194.7	41
ENSMUSG00000000197.6	4
ENSMUSG00000000202.3	0
ENSMUSG00000000204.8	0
ENSMUSG00000000214.4	0
ENSMUSG00000000215.4	1
ENSMUSG00000000216.7	0
ENSMUSG00000000223.6	24
ENSMUSG00000000244.9	6
ENSMUSG00000000247.4	0
ENSMUSG00000000248.9	0
ENSMUSG00000000253.6	16
ENSMUSG00000000263.9	3
ENSMUSG00000000266.5	15
ENSMUSG00000000275.9	12
ENSMUSG00000000276.5	21
ENSMUSG00000000278.9	7
ENSMUSG00000000282.6	10
ENSMUSG00000000290.7	2
ENSMUSG00000000295.6	2
ENSMUSG00000000296.6	13
ENSMUSG00000000301.9	9
ENSMUSG00000000303.6	0
ENSMUSG00000000305.6	13
ENSMUSG00000000308.8	0
ENSMUSG00000000317.5	0
ENSMUSG00000000318.9	1
ENSMUSG00000000320.3	0
ENSMUSG00000000325.8	6
ENSMUSG00000000326.6	38
ENSMUSG00000000339.8	6
ENSMUSG00000000340.6	3
ENSMUSG00000000346.7	6
ENSMUSG00000000355.6	33
ENSMUSG00000000359.3	21
ENSMUSG00000000365.7	4
ENSMUSG00000000374.7	40
ENSMUSG00000000378.8	63
ENSMUSG00000000381.9	1
ENSMUSG00000000384.8	62
ENSMUSG00000000385.7	0
ENSMUSG00000000386.8	1
ENSMUSG00000000392.11	2
ENSMUSG00000000394.9	4
ENSMUSG00000000399.7	13
ENSMUSG00000000402.2	4
ENSMUSG00000000409.8	2
ENSMUSG00000000411.7	1
ENSMUSG00000000416.9	4
ENSMUSG00000000420.8	9
ENSMUSG00000000435.1	2
ENSMUSG00000000439.7	5
ENSMUSG00000000440.6	7
ENSMUSG00000000441.10	46
ENSMUSG00000000486.7	0
ENSMUSG00000000489.6	2
ENSMUSG00000000530.9	1
ENSMUSG00000000531.4	5
ENSMUSG00000000532.8	14
ENSMUSG00000000538.11	87
ENSMUSG00000000544.8	0
ENSMUSG00000000552.8	11
ENSMUSG00000000555.6	15
ENSMUSG00000000560.5	2
ENSMUSG00000000561.8	14
ENSMUSG00000000562.4	0
ENSMUSG00000000563.11	14
ENSMUSG00000000567.4	0
ENSMUSG00000000568.9	37
ENSMUSG00000000579.8	0
ENSMUSG00000000581.2	6
ENSMUSG00000000594.7	2
ENSMUSG00000000600.8	46
ENSMUSG00000000605.7	9
ENSMUSG00000000606.8	0
ENSMUSG00000000617.8	0
ENSMUSG00000000627.9	1
ENSMUSG00000000628.4	5
ENSMUSG00000000631.12	1002
ENSMUSG00000000632.7	1
ENSMUSG00000000673.8	0
ENSMUSG00000000682.7	0
ENSMUSG00000000686.11	7
ENSMUSG00000000690.3	0
ENSMUSG00000000693.4	6
ENSMUSG00000000701.7	0
ENSMUSG00000000706.9	0
ENSMUSG00000000708.8	4
ENSMUSG00000000711.2	32
ENSMUSG00000000724.9	0
ENSMUSG00000000730.7	1
ENSMUSG00000000731.9	0
ENSMUSG00000000732.7	0
ENSMUSG00000000738.11	0
ENSMUSG00000000739.7	0
ENSMUSG00000000740.5	0
ENSMUSG00000000743.8	0
ENSMUSG00000000751.7	11
ENSMUSG00000000753.8	85
ENSMUSG00000000759.8	16
ENSMUSG00000000766.11	1
ENSMUSG00000000776.5	0
ENSMUSG00000000782.8	0
ENSMUSG00000000787.6	9
ENSMUSG00000000791.7	0
ENSMUSG00000000792.2	0
ENSMUSG00000000794.7	85
ENSMUSG00000000804.8	24
ENSMUSG00000000805.11	0
ENSMUSG00000000811.7	13
ENSMUSG00000000817.8	0
ENSMUSG00000000823.9	0
ENSMUSG00000000826.10	7
ENSMUSG00000000827.10	60
ENSMUSG00000000838.10	27
ENSMUSG00000000861.9	1
ENSMUSG00000000869.6	2
ENSMUSG00000000876.5	14
ENSMUSG00000000881.6	16
ENSMUSG00000000884.9	87
ENSMUSG00000000889.7	3
ENSMUSG00000000901.8	43
ENSMUSG00000000902.6	15
ENSMUSG00000000903.3	0
ENSMUSG00000000915.9	6
ENSMUSG00000000916.9	4
ENSMUSG00000000934.8	10
ENSMUSG00000000938.9	23
ENSMUSG00000000942.9	0
ENSMUSG00000000948.9	13
ENSMUSG00000000957.8	2
ENSMUSG00000000958.4	0
ENSMUSG00000000959.5	7
ENSMUSG00000000976.7	6
